"63","GRUPO MULTI S.A","3117159/01",NULL,"2025-11-30",NULL,NULL,"16408.98","Pago","Ref. a NF nº 3117159","Importação PDF"
"64","GRUPO MULTI S.A","3161160/01",NULL,"2025-12-21",NULL,NULL,"10027.71","Em aberto","Ref. a NF nº 3161160","Importação PDF"
"65","INTELBRAS S/A - IND DE TEL ELET BRA","179067/01",NULL,"2025-08-26",NULL,NULL,"20751.56","Pago","Ref. a NF nº 179067 - Pagamento à vista","Importação PDF"
"66","INTELBRAS S/A - IND DE TEL ELET BRA","189022/01",NULL,"2025-08-26",NULL,NULL,"705.53","Pago","Ref. a NF nº 189022","Importação PDF"
"67","INTELBRAS S/A - IND DE TEL ELET BRA","189021/01",NULL,"2025-08-26",NULL,NULL,"71435.24","Pago","Ref. a NF nº 189021","Importação PDF"
"68","INTELBRAS S/A - IND DE TEL ELET BRA","207147/01",NULL,"2025-09-15",NULL,NULL,"536.47","Pago","Ref. a NF nº 207147","Importação PDF"
"69","INTELBRAS S/A - IND DE TEL ELET BRA","207137/01",NULL,"2025-09-15",NULL,NULL,"79576.47","Pago","Ref. a NF nº 207137","Importação PDF"
"70","INTELBRAS S/A - IND DE TEL ELET BRA","207143/01",NULL,"2025-09-15",NULL,NULL,"715.30","Pago","Ref. a NF nº 207143","Importação PDF"
"71","INTELBRAS S/A - IND DE TEL ELET BRA","186035/01",NULL,"2025-09-19",NULL,NULL,"2385.45","Pago","Ref. a NF nº 186035","Importação PDF"
"72","INTELBRAS S/A - IND DE TEL ELET BRA","186032/01",NULL,"2025-09-19",NULL,NULL,"1829.87","Pago","Ref. a NF nº 186032","Importação PDF"
"73","INTELBRAS S/A - IND DE TEL ELET BRA","186031/01",NULL,"2025-09-19",NULL,NULL,"11289.20","Pago","Ref. a NF nº 186031","Importação PDF"
"74","INTELBRAS S/A - IND DE TEL ELET BRA","191684/01",NULL,"2025-09-25",NULL,NULL,"3651.35","Pago","Ref. a NF nº 191684","Importação PDF"
"75","INTELBRAS S/A - IND DE TEL ELET BRA","192417/01",NULL,"2025-09-26",NULL,NULL,"2190.81","Pago","Ref. a NF nº 192417","Importação PDF"
"76","INTELBRAS S/A - IND DE TEL ELET BRA","192423/01",NULL,"2025-09-26",NULL,NULL,"243.42","Pago","Ref. a NF nº 192423","Importação PDF"
